it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
6510, 0.0, 14.106805025297382, 0.015299026425591099, 23, 5, 500.0, 7503596, 0.0, 10.0, 23927, 38, 0.2017543859649123, -0.37794796, 0.0015433173, 1574.9204, 0.0012837657, 1.6886943e-05, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.134676, 30.127798, 16.61157, 0.40099224, 0.0, 870, 38, 9, 5, 23
6511, 0.0, 14.106739216212102, 0.015309672929714684, 23, 5, 500.0, 7504748, 0.0, 10.0, 23930, 38, 0.2017543859649123, -0.3750365, 0.0013810233, 1574.7904, 0.020159263, 8.894101e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5268097, 31.63403, 13.260091, 0.3147368, 0.0, 991, 38, 9, 5, 23
6512, 0.0, 14.106673423748775, 0.01518288474810214, 23, 5, 500.0, 7505900, 0.0, 10.0, 23933, 38, 0.2017543859649123, -0.37308198, 0.00034043827, 1574.6448, 0.016463688, 3.4742207e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5767298, 64.446396, 15.26677, 0.679542, 0.0, 1026, 38, 9, 5, 23
6513, 0.0, 14.106629571337866, 0.015256588072122053, 23, 5, 500.0, 7507052, 0.0, 10.0, 23935, 38, 0.2017543859649123, -0.37247917, 0.00022498447, 1574.507, 0.0005489076, 6.5086353e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.82376, 64.47206, 18.972027, 1.2987903, 0.0, 782, 38, 9, 5, 23
6514, 0.0, 14.106607647901106, 0.015299026425591099, 23, 5, 500.0, 7508204, 0.0, 10.0, 23936, 38, 0.2017543859649123, -0.37565997, 0.001623754, 1574.3867, 0.0012491836, 2.1984222e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2342324, 33.234135, 17.419765, 0.38313925, 0.0, 538, 38, 9, 5, 23
6515, 0.0, 14.1065418886628, 0.015309672929714684, 23, 5, 500.0, 7509356, 0.0, 10.0, 23939, 38, 0.2017543859649123, -0.3765562, 0.0011443556, 1574.2659, 0.0047700414, 7.4893774e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7178993, 33.366074, 16.55199, 0.2672554, 0.0, 794, 38, 9, 5, 23
6516, 0.0, 14.106454235504309, 0.01518288474810214, 23, 5, 500.0, 7510508, 0.0, 10.0, 23943, 38, 0.2017543859649123, -0.37406015, 0.00022080206, 1574.144, 0.011221581, 8.210623e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0989504, 64.03349, 15.448699, 0.6611846, 0.0, 1050, 38, 9, 5, 23
6517, 0.0, 14.106432326824903, 0.015120274914089347, 23, 5, 500.0, 7511660, 0.0, 10.0, 23944, 38, 0.2017543859649123, -0.37129638, 0.00016943122, 1574.0232, 0.0022347695, 9.946426e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2031126, 63.91983, 17.624546, 1.1373047, 0.0, 806, 38, 9, 5, 23
6518, 0.0, 14.106388514996727, 0.015299026425591099, 23, 5, 500.0, 7512812, 0.0, 10.0, 23946, 38, 0.2017543859649123, -0.37224436, 0.0004071038, 1573.9039, 0.03567413, 4.4171475e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1663938, 27.743206, 10.617966, 0.461009, 0.0, 562, 38, 9, 5, 23
6519, 0.0, 14.106344710541176, 0.015309672929714684, 23, 5, 500.0, 7513964, 0.0, 10.0, 23948, 38, 0.2017543859649123, -0.3778689, 0.0017308458, 1573.7937, 0.04421031, 2.5585432e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7728724, 32.51345, 15.054513, 0.388839, 0.0, 818, 38, 9, 5, 23
