it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
2896, 1.0, 8.112445257489476, 0.01071517567904311, 23, 1, 28.97, 3340268, 10.0, 10.0, 88794, 38, 0.12543200105526975, -0.34034353, 2.8631182e-05, 1876.4789, 0.011511321, 2.5007241e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.11503, 27.955578, 22.623709, 13.165504, 0.0, 298, 38, 2, 4, 31
2897, 1.0, 8.112448399975854, 0.01033266129032258, 23, 1, 28.96, 3341420, 10.0, 10.0, 88834, 38, 0.12543200105526975, -0.3520863, 2.8914521e-05, 1876.359, 0.010444446, 2.8913182e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.065258, 27.98463, 22.694399, 13.298375, 0.0, 293, 38, 2, 4, 31
2898, 1.0, 8.112451461168376, 0.01076884547958928, 23, 1, 28.98, 3342572, 10.0, 10.0, 88873, 38, 0.12543200105526975, -0.3459508, 0.00010920243, 1876.2437, 0.010834062, 3.624475e-05, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.001516, 28.00885, 22.634596, 13.135884, 0.0, 317, 38, 2, 4, 31
2899, 1.0, 8.112454519667374, 0.01074462768615692, 23, 1, 28.97, 3343724, 10.0, 10.0, 88912, 38, 0.12543200105526975, -0.34773946, 0.00012560311, 1876.1123, 0.009689311, 0.0007457999, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.997654, 28.020733, 22.650093, 13.410003, 0.0, 311, 38, 2, 4, 31
2900, 1.0, 8.112457732112107, 0.010785051417105593, 23, 1, 28.94, 3344876, 10.0, 10.0, 88953, 38, 0.12543200105526975, -0.3411938, 0.00013962596, 1875.9824, 0.009237463, 1.0726604e-05, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.94518, 28.037859, 22.654877, 13.228752, 0.0, 307, 38, 2, 4, 31
2901, 1.0, 8.112460785097035, 0.01071517567904311, 23, 1, 28.97, 3346028, 10.0, 10.0, 88992, 38, 0.12543200105526975, -0.33858886, 3.161571e-05, 1875.8392, 0.009485461, 2.2284257e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.92782, 28.051662, 22.63899, 13.257709, 0.0, 303, 38, 2, 4, 31
2902, 1.0, 8.112463913576894, 0.010304096506659964, 23, 1, 29.05, 3347180, 10.0, 10.0, 89032, 38, 0.12543200105526975, -0.3509129, 0.00013260225, 1875.6982, 0.010481932, 0.0007746707, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.90009, 28.075382, 22.690847, 13.236682, 0.0, 298, 38, 2, 4, 31
2903, 1.0, 8.1124669611313, 0.010699178900223935, 23, 1, 28.99, 3348332, 10.0, 10.0, 89071, 38, 0.12543200105526975, -0.3321377, 0.00012742255, 1875.5707, 0.009509958, 0.00017664743, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.951004, 28.09499, 22.73161, 13.228099, 0.0, 321, 38, 2, 4, 31
2904, 1.0, 8.112470162085733, 0.010492130901823632, 23, 1, 28.97, 3349484, 10.0, 10.0, 89112, 38, 0.12543200105526975, -0.34036106, 0.00020057781, 1875.4502, 0.0076868697, 0.00022213813, 0.005859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.959946, 28.09417, 22.718048, 13.26831, 0.0, 317, 38, 2, 4, 31
2905, 1.0, 8.112473282122322, 0.010486891385767791, 23, 1, 28.94, 3350636, 10.0, 10.0, 89152, 38, 0.12543200105526975, -0.34178805, 0.00013428205, 1875.296, 0.009918825, 0.0006185448, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.02111, 28.084557, 22.744421, 13.280544, 0.0, 593, 38, 2, 4, 31
2906, 1.0, 8.112476243557193, 0.01071517567904311, 23, 1, 29.0, 3351788, 10.0, 10.0, 89190, 38, 0.12543200105526975, -0.34885278, 9.777262e-05, 1875.1597, 0.0089883655, 2.43481e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.983532, 28.098436, 22.728916, 13.280526, 0.0, 387, 38, 2, 4, 31
2907, 1.0, 8.112479435952256, 0.010842158345940494, 23, 1, 28.98, 3352940, 10.0, 10.0, 89231, 38, 0.12543200105526975, -0.3426477, 7.139464e-05, 1875.016, 0.008860843, 1.6142776e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.05764, 28.099747, 22.71983, 13.249581, 0.0, 303, 38, 2, 4, 31
2908, 1.0, 8.112482469891292, 0.01074462768615692, 23, 1, 28.95, 3354092, 10.0, 10.0, 89270, 38, 0.12543200105526975, -0.3430734, 5.3237774e-05, 1874.8988, 0.00821343, 6.122135e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.10234, 28.113003, 22.788548, 13.209496, 0.0, 298, 38, 2, 4, 31
2909, 1.0, 8.112485578862934, 0.010507880910683012, 23, 1, 28.97, 3355244, 10.0, 10.0, 89310, 38, 0.12543200105526975, -0.33920622, 0.00023336869, 1874.7576, 0.0066801147, 4.9657563e-05, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.04337, 28.113695, 22.805416, 13.234215, 0.0, 322, 38, 2, 4, 31
2910, 1.0, 8.112488685042662, 0.01073926073926074, 23, 1, 29.01, 3356396, 10.0, 10.0, 89350, 38, 0.12543200105526975, -0.3342361, 4.209068e-05, 1874.6118, 0.0069076195, 6.06865e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.028748, 28.121904, 22.773956, 13.287198, 0.0, 319, 38, 2, 4, 31
2911, 1.0, 8.112491788434234, 0.01074462768615692, 23, 1, 28.99, 3357548, 10.0, 10.0, 89390, 38, 0.12543200105526975, -0.3426099, 7.8455305e-05, 1874.468, 0.008008213, 6.733078e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.066029, 28.126116, 22.781898, 13.252964, 0.0, 314, 38, 2, 4, 31
2912, 1.0, 8.112494966520938, 0.010311871227364185, 23, 1, 28.95, 3358700, 10.0, 10.0, 89431, 38, 0.12543200105526975, -0.3334087, 0.00020466553, 1874.3536, 0.0066492804, 0.00021373914, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.01033, 28.151964, 22.767622, 13.342542, 0.0, 309, 38, 2, 4, 31
2913, 1.0, 8.112497909456108, 0.01071517567904311, 23, 1, 28.93, 3359852, 10.0, 10.0, 89469, 38, 0.12543200105526975, -0.35277537, 0.00024401049, 1874.2245, 0.00785557, 0.00095592067, 0.005859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.080532, 28.14405, 22.760206, 13.336949, 0.0, 305, 38, 2, 4, 31
2914, 1.0, 8.112501081917504, 0.010587345601209983, 23, 1, 28.98, 3361004, 10.0, 10.0, 89510, 38, 0.12543200105526975, -0.34621966, 0.00012837688, 1874.1202, 0.006756515, 5.4634916e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.010393, 28.166729, 22.73858, 13.221814, 0.0, 302, 38, 2, 4, 31
2915, 1.0, 8.112504096920766, 0.010967098703888335, 23, 1, 28.97, 3362156, 10.0, 10.0, 89549, 38, 0.12543200105526975, -0.3454085, 0.0001742991, 1873.9917, 0.007612501, 0.00067594607, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.09308, 28.1736, 22.822754, 13.190914, 0.0, 297, 38, 2, 4, 31
2916, 1.0, 8.112507186496902, 0.010507880910683012, 23, 1, 28.97, 3363308, 10.0, 10.0, 89589, 38, 0.12543200105526975, -0.33100268, 0.00022128671, 1873.8883, 0.0057189665, 0.00025108617, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.049894, 28.17606, 22.844921, 13.278745, 0.0, 293, 38, 2, 4, 31
2917, 1.0, 8.112510273307201, 0.010515773660490736, 23, 1, 28.95, 3364460, 10.0, 10.0, 89629, 38, 0.12543200105526975, -0.33555016, 9.833003e-05, 1873.751, 0.007878005, 2.2001002e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.142092, 28.171812, 22.82322, 13.19268, 0.0, 318, 38, 2, 4, 31
2918, 1.0, 8.112513203218514, 0.01071517567904311, 23, 1, 28.96, 3365612, 10.0, 10.0, 89667, 38, 0.12543200105526975, -0.35201374, 0.00017508447, 1873.6322, 0.00500603, 0.00024737, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.12778, 28.167507, 22.849995, 13.3654375, 0.0, 313, 38, 2, 4, 31
2919, 1.0, 8.112516361646483, 0.010842158345940494, 23, 1, 28.94, 3366764, 10.0, 10.0, 89708, 38, 0.12543200105526975, -0.34082144, 0.00014244253, 1873.4867, 0.006270763, 0.0001492145, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.135086, 28.172869, 22.831148, 13.227574, 0.0, 309, 38, 2, 4, 31
2920, 1.0, 8.112519440250349, 0.01071517567904311, 23, 1, 28.94, 3367916, 10.0, 10.0, 89748, 38, 0.12543200105526975, -0.35097477, 6.924571e-05, 1873.3516, 0.0063209273, 2.1541357e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.156368, 28.168968, 22.808697, 13.30203, 0.0, 305, 38, 2, 4, 31
2921, 1.0, 8.112522439240276, 0.010507880910683012, 23, 1, 28.96, 3369068, 10.0, 10.0, 89787, 38, 0.12543200105526975, -0.34583116, 0.00012228734, 1873.2012, 0.0056183077, 7.174842e-05, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.091867, 28.188, 22.824455, 13.226646, 0.0, 300, 38, 2, 4, 31
2922, 1.0, 8.112525512414233, 0.01076884547958928, 23, 1, 28.97, 3370220, 10.0, 10.0, 89827, 38, 0.12543200105526975, -0.34622118, 4.178815e-05, 1873.0374, 0.0062492825, 1.9020725e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.164005, 28.209354, 22.846935, 13.183205, 0.0, 323, 38, 2, 4, 31
2923, 1.0, 8.112528659569975, 0.010492130901823632, 23, 1, 28.96, 3371372, 10.0, 10.0, 89868, 38, 0.12543200105526975, -0.33856514, 2.9136245e-05, 1872.8794, 0.0059398613, 3.4277853e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.221441, 28.249197, 22.862661, 13.290845, 0.0, 318, 38, 2, 4, 31
2924, 1.0, 8.11253172719146, 0.010311871227364185, 23, 1, 28.96, 3372524, 10.0, 10.0, 89908, 38, 0.12543200105526975, -0.33695135, 0.00030148824, 1872.7224, 0.005612244, 0.00046853782, 0.0087890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.181696, 28.28305, 22.838913, 13.206151, 0.0, 313, 38, 2, 4, 31
2925, 1.0, 8.11253463889721, 0.01071517567904311, 23, 1, 28.97, 3373676, 10.0, 10.0, 89946, 38, 0.12543200105526975, -0.3537229, 3.8685906e-05, 1872.554, 0.006212519, 5.836057e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.212624, 28.285702, 22.818647, 13.349843, 0.0, 307, 38, 2, 4, 31
2926, 1.0, 8.112537777708317, 0.010842158345940494, 23, 1, 28.98, 3374828, 10.0, 10.0, 89987, 38, 0.12543200105526975, -0.33244422, 2.0741472e-05, 1872.3936, 0.0060627447, 7.773522e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.202658, 28.292757, 22.82446, 13.22511, 0.0, 302, 38, 2, 4, 31
2927, 1.0, 8.112540837199719, 0.01071517567904311, 23, 1, 28.96, 3375980, 10.0, 10.0, 90027, 38, 0.12543200105526975, -0.34211093, 1.5343685e-05, 1872.2302, 0.006112497, 1.3829074e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.190332, 28.288551, 22.840866, 13.167027, 0.0, 297, 38, 2, 4, 31
2928, 1.0, 8.112543817579619, 0.010507880910683012, 23, 1, 28.96, 3377132, 10.0, 10.0, 90066, 38, 0.12543200105526975, -0.33922097, 1.4979426e-05, 1872.0713, 0.0057983547, 4.5822622e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.155514, 28.278416, 22.89718, 13.297035, 0.0, 292, 38, 2, 4, 31
2929, 1.0, 8.112546871691576, 0.01076884547958928, 23, 1, 28.99, 3378284, 10.0, 10.0, 90106, 38, 0.12543200105526975, -0.34938803, 3.7680806e-05, 1871.9218, 0.00566137, 7.1104364e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.057148, 28.287128, 22.82822, 13.1961565, 0.0, 316, 38, 2, 4, 31
